Date,Market Yield
1/31/00,6.68
2/1/00,6.62
2/2/00,6.6
2/3/00,6.49
2/4/00,6.53
2/7/00,6.64
2/8/00,6.59
2/9/00,6.56
2/10/00,6.67
2/11/00,6.63
2/14/00,6.56
2/15/00,6.56
2/16/00,6.56
2/17/00,6.58
2/18/00,6.49
2/21/00,ND
2/22/00,6.36
2/23/00,6.44
2/24/00,6.36
2/25/00,6.36
2/28/00,6.37
2/29/00,6.42
3/1/00,6.39
3/2/00,6.4
3/3/00,6.39
3/6/00,6.42
3/7/00,6.39
3/8/00,6.38
3/9/00,6.35
3/10/00,6.39
3/13/00,6.36
3/14/00,6.31
3/15/00,6.29
3/16/00,6.26
3/17/00,6.2
3/20/00,6.18
3/21/00,6.13
3/22/00,6.13
3/23/00,6.08
3/24/00,6.2
3/27/00,6.21
3/28/00,6.17
3/29/00,6.18
3/30/00,6.06
3/31/00,6.03
4/3/00,6
4/4/00,5.9
4/5/00,5.9
4/6/00,5.93
4/7/00,5.86
4/10/00,5.8
4/11/00,5.89
4/12/00,5.97
4/13/00,5.94
4/14/00,5.85
4/17/00,6.01
4/18/00,6.05
4/19/00,5.99
4/20/00,5.99
4/21/00,ND
4/24/00,6
4/25/00,6.14
4/26/00,6.14
4/27/00,6.23
4/28/00,6.23
5/1/00,6.29
5/2/00,6.32
5/3/00,6.4
5/4/00,6.46
5/5/00,6.51
5/8/00,6.57
5/9/00,6.53
5/10/00,6.47
5/11/00,6.43
5/12/00,6.51
5/15/00,6.47
5/16/00,6.43
5/17/00,6.48
5/18/00,6.56
5/19/00,6.51
5/22/00,6.44
5/23/00,6.45
5/24/00,6.47
5/25/00,6.39
5/26/00,6.33
5/29/00,ND
5/30/00,6.38
5/31/00,6.29
6/1/00,6.2
6/2/00,6.15
6/5/00,6.12
6/6/00,6.14
6/7/00,6.13
6/8/00,6.13
6/9/00,6.13
6/12/00,6.09
6/13/00,6.11
6/14/00,6.06
6/15/00,6.05
6/16/00,5.99
6/19/00,6
6/20/00,6.03
6/21/00,6.11
6/22/00,6.12
6/23/00,6.19
6/26/00,6.11
6/27/00,6.1
6/28/00,6.11
6/29/00,6.04
6/30/00,6.03
7/3/00,6
7/4/00,ND
7/5/00,5.99
7/6/00,6.05
7/7/00,6.01
7/10/00,6.04
7/11/00,6.06
7/12/00,6.09
7/13/00,6.01
7/14/00,6.1
7/17/00,6.17
7/18/00,6.16
7/19/00,6.16
7/20/00,6.01
7/21/00,6.01
7/24/00,6.04
7/25/00,6.04
7/26/00,6.04
7/27/00,6.02
7/28/00,6.04
7/31/00,6.04
8/1/00,6
8/2/00,5.98
8/3/00,5.95
8/4/00,5.91
8/7/00,5.97
8/8/00,5.93
8/9/00,5.81
8/10/00,5.76
8/11/00,5.79
8/14/00,5.78
8/15/00,5.81
8/16/00,5.83
8/17/00,5.81
8/18/00,5.78
8/21/00,5.79
8/22/00,5.78
8/23/00,5.73
8/24/00,5.73
8/25/00,5.73
8/28/00,5.78
8/29/00,5.81
8/30/00,5.81
8/31/00,5.73
9/1/00,5.68
9/4/00,ND
9/5/00,5.69
9/6/00,5.72
9/7/00,5.76
9/8/00,5.73
9/11/00,5.77
9/12/00,5.78
9/13/00,5.74
9/14/00,5.79
9/15/00,5.84
9/18/00,5.88
9/19/00,5.86
9/20/00,5.91
9/21/00,5.88
9/22/00,5.85
9/25/00,5.84
9/26/00,5.81
9/27/00,5.83
9/28/00,5.82
9/29/00,5.8
10/2/00,5.83
10/3/00,5.87
10/4/00,5.9
10/5/00,5.87
10/6/00,5.82
10/9/00,ND
10/10/00,5.8
10/11/00,5.77
10/12/00,5.73
10/13/00,5.73
10/16/00,5.74
10/17/00,5.68
10/18/00,5.66
10/19/00,5.66
10/20/00,5.64
10/23/00,5.59
10/24/00,5.63
10/25/00,5.67
10/26/00,5.69
10/27/00,5.72
10/30/00,5.74
10/31/00,5.77
11/1/00,5.74
11/2/00,5.74
11/3/00,5.83
11/6/00,5.87
11/7/00,5.87
11/8/00,5.87
11/9/00,5.82
11/10/00,5.82
11/13/00,5.77
11/14/00,5.76
11/15/00,5.72
11/16/00,5.68
11/17/00,5.71
11/20/00,5.68
11/21/00,5.67
11/22/00,5.62
11/23/00,ND
11/24/00,5.63
11/27/00,5.64
11/28/00,5.59
11/29/00,5.55
11/30/00,5.48
12/1/00,5.52
12/4/00,5.53
12/5/00,5.43
12/6/00,5.32
12/7/00,5.32
12/8/00,5.35
12/11/00,5.37
12/12/00,5.36
12/13/00,5.29
12/14/00,5.23
12/15/00,5.2
12/18/00,5.17
12/19/00,5.19
12/20/00,5.08
12/21/00,5.03
12/22/00,5.02
12/25/00,ND
12/26/00,5.04
12/27/00,5.11
12/28/00,5.13
12/29/00,5.12
1/1/01,ND
1/2/01,4.92
1/3/01,5.14
1/4/01,5.03
1/5/01,4.93
1/8/01,4.94
1/9/01,4.98
1/10/01,5.1
1/11/01,5.14
1/12/01,5.25
1/15/01,ND
1/16/01,5.24
1/17/01,5.19
1/18/01,5.12
1/19/01,5.19
1/22/01,5.25
1/23/01,5.3
1/24/01,5.33
1/25/01,5.29
