RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22
124381,134,Flagami,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,63373,63988,64912,66153,67180,67766,68328,68766,69095,69856,70737,71403,71900,72147,72768,73177,73608,74327,75326,76626,77758,78766,80301,81646,82930,83784,84408,85064,85733,86445,87379,88426,89570,90981,91947,93712,95036,96534,97848,98711,99450,99495,100446,101586,103483,105087,106684,107604,108456,109587,110717,111954,113298,114806,116704,118852,121309,123238,124960,126772,129426,132217,136002,140030,145233,148965,152104,155179,159727,164528,167874,172087,174463,177787,180148,184586,188289,191559,195878,200149,204189,206425,208778,210628,211820,212826,212219,212089,211129,211207,210788,210587,209396,209220,207168,206782,202480,198543,192660,188333,185902,183622,182087,179652,176993,173659,169051,162748,154648,146057,137457,130402,124396,118669,112923,107259,104850,103310,102869,100877,98982,95885,93446,91230,89250,87938,86448,85239,83702,82055,81060,79844,78806,77715,76591,74947,73343,72470,72519,72788,72656,72344,71684,71287,71990,73616,75587,77454,78485,78553,78332,78464,79782,80558,81712,82366,83746,85920,88060,89745,91043,92219,94399,95473,95934,95664,95822,97241,98256,98988,99086,100106,101447,103603,105288,106986,107816,108824,109268,109547,109331,109381,109490,110419,111731,112805,113681,114128,113934,113941,114170,115656,116435,118691,120235,120539,118933,117903,117808,118111,119708,121463,123016,123777,124808,125556,125966,127218,129303,131209,131707,132444,132410,133171,132815,133147,132952,133368,134026,134966,135604,135445,135004,134375,134300,134217,135060,135397,135668,134423,133870,134069,134795,135967,136099,136379,136040,136645,137127,137197,137017,137842,138824,139551,139511,139295,138892,139049,139759,140470,140946,142156,143752,144861,145567,145960,147381,148701,150387,152234,154686,156711,159056,160525,163212,164894,166666,167572,169902,173769
269072,142,Little Havana,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,66004,66321,66420,66772,66930,67255,67346,67063,66669,66514,66857,66936,66902,66802,67275,67815,68551,68640,68940,69339,70445,71280,71879,73070,74318,75834,76731,77773,78778,80062,81862,83609,84735,85593,86739,88190,89341,89551,90187,90996,92400,93541,95210,97574,100161,101903,102402,102124,102772,104651,106994,109025,110560,111966,113277,114903,116843,119378,122746,126988,131187,134182,137418,140470,144743,148532,151926,155065,159765,164085,167781,170495,173115,175470,178372,181561,185346,187442,190162,191329,191821,192118,192798,193789,193695,194299,193956,194363,193582,192911,191652,190470,189023,188123,187280,187051,184044,180218,175102,171102,168186,166490,165297,164402,162626,160627,157597,152961,148152,142586,138283,134679,132896,130453,126189,121812,119306,118334,116316,112918,110238,107783,105272,101697,98776,96230,91962,86620,81525,78224,76570,75812,75904,74886,74308,74033,74198,74829,74872,75367,75316,76113,77629,78604,78964,77401,77247,77347,79592,80976,82511,82135,81814,80900,81081,82832,85187,87956,89904,92418,94592,95616,98734,101886,105570,108057,111008,114021,115855,117935,119955,121502,121420,120769,121337,123362,125754,128991,130696,131886,130982,131131,132555,134731,134693,134221,133917,134265,134529,132623,131546,130709,131330,133201,133307,133749,133080,135659,138141,140888,141094,140934,141707,144346,147630,150148,151388,151608,150955,150929,151335,153313,154212,155294,154488,154324,153925,156079,157043,158661,158426,159537,160312,160835,160222,159732,159943,160112,159913,159906,159584,159987,159610,159873,159102,158887,159438,160009,159894,159141,158773,159430,160432,160413,158820,156804,155290,155018,155760,157276,158256,158526,159207,160610,162305,163795,166861,169586,171550,172749,175178,177640,180197,182337,185771,188471,191886,194157,198594,203446
269228,190,Alameda - West Flagler,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,61343,61573,61757,62142,62498,63052,63371,63406,62874,62482,62560,63093,63677,64385,65057,65999,66454,67085,67489,68229,69134,70118,71562,72785,73741,74253,74756,75323,75729,76363,77454,78992,79855,80670,80889,81895,82816,83860,84948,86380,88023,89493,90473,91257,92722,94056,95609,96246,97637,99092,101097,102684,104159,105959,107533,109702,111530,114248,116783,119565,121962,124257,126322,128413,132216,136307,140623,143952,147807,150672,152455,153504,155324,157236,160417,164214,168557,171506,173961,175281,175535,175129,175404,176731,177016,177350,176507,176466,175882,175059,174304,173675,172966,173003,171441,170664,166554,162293,158597,156286,156443,154641,153590,150350,147490,144099,141459,136926,131286,125567,120531,116415,113492,110736,108578,105440,104912,104348,104012,103261,102377,100943,97706,93025,88813,85325,83357,81347,80003,78597,77526,76593,76008,75681,75649,76098,76450,76451,75966,75312,74762,74859,75312,75484,75691,75247,75146,75599,76220,77986,79108,82000,84480,86911,87850,88745,90130,92451,94500,96399,96680,97455,98587,100629,102012,102296,103857,105686,108156,110310,112226,113996,114494,115543,117109,119628,121256,122554,123076,123370,123671,123756,124411,125268,125948,126500,126574,127451,127710,128203,128494,130684,132711,135976,137696,140069,139888,140570,140800,141365,141689,142059,143627,145142,147875,149266,150422,150389,151047,151771,152015,152683,153062,154562,154817,155438,155208,155581,155668,155967,156812,157269,157852,157114,156961,156441,157611,156933,156377,155168,155898,156726,157639,158941,160662,161796,162288,162664,162939,162887,161920,161168,160403,160277,160902,161103,160989,160176,159942,159679,159932,160867,162819,164338,167074,168475,171097,172793,174990,177236,179534,182554,185222,188006,190477,193096,196050,199008,204051,210282
123423,220,Allapattah,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,35325,35152,34266,33613,32393,32001,31106,30734,30445,30607,30768,31673,32075,33356,33608,34165,34232,34732,36297,37875,39212,39373,39649,40369,40930,42045,43280,44472,44999,45071,45936,46515,47140,47174,47657,47928,48419,48510,48942,49408,50004,50562,50783,50859,50914,51628,52563,53133,53488,53687,54456,55118,56310,57638,58926,59867,60893,62353,64545,66328,67911,68772,69979,71211,73093,75036,76731,77655,78932,80647,81906,82819,84571,86885,89713,92091,94445,95766,96987,98035,99036,98424,98593,98462,98854,98536,98567,98870,99255,99834,100134,99968,99253,99385,99541,99526,97585,94282,91043,88485,88020,87541,87960,87449,87421,86447,85150,81208,78017,75023,73860,71616,68163,63362,58414,55135,53883,54137,55117,56562,57038,56151,54755,52812,52055,51508,51748,51162,50017,48541,46787,44979,43702,42352,41257,40313,40120,40073,39822,39928,40355,41695,42767,42818,41571,40827,41533,42792,44449,46688,48753,50616,50718,50802,50444,51600,54543,57412,59039,59877,60278,61266,63333,65167,67775,68973,71293,73036,74242,75494,76197,77680,78488,79532,80296,81347,82831,84250,85659,86774,87803,89158,90496,92403,93204,92967,92494,93988,95654,95886,94787,94563,95620,97838,100420,102019,101824,101259,101557,102051,103337,105626,110745,115909,120532,122914,124123,124925,125398,126546,127468,128022,127255,126609,124929,124621,125031,128093,130461,131586,131235,130785,130404,129747,129596,129581,131689,133647,135254,135248,135075,136254,136793,136935,135891,135269,135323,135246,133915,132314,131075,131925,132988,134870,134958,133921,132404,132262,132980,133725,134733,135363,136694,137990,140260,141320,142940,144777,146838,148568,150449,152893,155392,157609,160161,163131,166498,170027,175503,181159
268938,240,Coral Way,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,114766,114585,115074,115915,116161,116449,116302,116713,116738,117362,118170,119775,120840,122380,122742,123449,124729,126741,129079,130534,132484,134135,136518,138165,140062,141577,144329,148095,151961,155096,157134,159201,160884,162870,164400,166232,168570,171633,174588,176786,178669,180057,181143,181697,183165,184757,186489,187318,188345,190071,192078,194023,196094,198828,201379,203030,204473,206678,209716,212832,215637,218713,221682,224476,228414,233680,239387,244690,250141,254756,257992,260752,264516,268495,272934,277190,280892,283114,285043,286216,286984,286751,286849,287220,286581,287153,285154,283716,280388,278508,276985,275351,272369,269946,265790,263661,257305,251612,244168,238225,233337,228505,224175,218423,212940,207699,202542,195972,191414,187258,184697,179637,175849,171808,168282,164419,157198,149849,140456,134843,132064,131304,131005,128934,128631,127765,126825,125347,123702,121500,119304,118657,117765,116370,114922,114920,114600,113588,113227,113279,114279,114283,115019,114409,115494,115857,117082,117251,117256,117272,117327,118605,120454,123063,125394,127529,128229,130668,134003,139332,143339,147459,152355,157736,162130,166605,171310,176163,178639,179565,179796,180647,182157,184142,186554,188938,191617,193910,195007,195704,195487,195433,194818,195187,195622,195772,195858,195474,196118,196816,199361,201678,202537,202569,201973,202919,202888,204332,205454,207797,209283,210740,211738,212834,213668,213980,213785,213448,213414,212841,212609,212561,212810,213604,213398,213545,212867,213783,214140,214482,213959,213118,211888,210415,209834,209842,210736,211124,211313,211271,211334,211607,211556,212549,213176,213164,212477,211699,211254,210504,210346,211188,212015,211869,212625,213267,214293,213613,213215,213176,213183,214353,216672,219450,222535,223537,225782,227530,229902,231968,235002,239131,243325,247852,253144,259045,265081,270983,278499,287420
220532,309,Central,Neighborhood,FL,FL,North Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,41967,42222,42399,42569,42633,42693,42999,43266,43474,43579,43613,43626,43677,43859,44025,44312,44692,45188,45661,46207,46754,47335,47880,48518,49188,49853,50574,51247,51832,52458,53041,53812,54375,55065,55852,57023,58442,59645,60740,61539,62544,63480,64438,65336,66453,67514,68524,69179,69979,70818,72105,73183,74267,75181,76340,77817,79481,81173,82901,84726,86472,88115,89906,91976,94485,97120,99828,102624,105776,108453,110605,112890,115756,118975,122310,125670,128629,130754,132681,134192,135434,136253,137193,138149,138474,138793,138145,138178,137868,137742,137088,136402,135171,134371,132697,131562,128277,125186,122068,119754,118566,116983,116438,114583,112823,110940,108762,106407,104258,103674,102372,100776,96482,92172,86674,82053,79247,76002,74022,70755,68029,65219,62426,60659,58460,56622,54873,53763,53176,52585,51864,51371,50543,49042,47173,45568,44867,44504,43892,43804,44276,45663,46579,47042,47469,47753,47957,47766,47888,48196,48686,49239,49293,49797,50210,51169,52236,53616,54059,55023,55572,57217,58394,60079,61222,62036,62312,62541,62894,63847,65314,66534,67346,67371,67956,68061,68124,67872,67892,68423,68553,69097,69988,70886,71740,72173,72712,73027,73443,73734,74820,76549,78218,78672,78438,78408,78901,78682,78991,79731,80967,81445,81747,82115,83182,83582,84856,85760,86850,87780,88963,89971,90051,90529,90894,91385,91071,91423,92335,93425,94477,95554,96061,96000,95322,94787,95794,96355,97526,97677,98867,100004,101026,101767,101783,101537,101192,101614,101643,101991,101955,103611,104831,105695,105140,104631,104461,104759,105189,105482,106129,107282,109071,109691,110633,111112,113256,114955,117659,119902,122762,125157,127352,128932,130457,132458,135607,139247,143033,147688
269071,362,Little Haiti,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86861,88097,89258,92149,96016,99737,102059,102872,102935,103401,104550,107673,110623,112951,115894,119180,124323,126081,123380,119922,116544,117105,115346,114215,113466,112993,112371,111985,111582,111882,112198,114081,115507,116385,117810,119250,121348,123784,126542,129502,131115,132430,130705,129422,129600,132940,137962,142070,145153,148879,153496,157791,159399,160662,166955,174065,178149,179242,178771,179200,177093,175000,174201,174281,171412,165755,155741,148472,140796,136460,133168,131118,128598,123690,119530,115823,111780,107789,104895,105497,104981,103526,99680,95685,91015,86631,84812,83917,83066,80448,77127,74228,71269,69973,68341,67333,66504,65359,65398,65181,66056,66936,67630,67601,67661,66705,66218,64927,64159,63838,65608,66944,68708,67784,66804,63923,62390,60736,60412,60258,60356,60156,59143,59007,58666,57189,56032,54407,54658,55683,56524,57921,58603,60348,61820,62339,63446,64873,67682,69010,69136,69632,70676,72187,72957,74438,74847,74509,74216,75104,76082,77510,78274,79900,81826,84245,86190,87375,87989,88871,89669,90838,92807,94762,97022,97977,98488,98908,97352,96438,96019,98385,101363,103637,105779,105571,107496,108507,111885,114114,116547,118715,119375,120890,120840,122833,123659,128420,129091,130296,125414,122668,119789,120157,119392,119381,118171,119684,120049,121680,122437,124395,127006,129498,131121,132042,132240,132922,132821,133460,132603,132844,132801,133351,135561,138483,141030,141148,140916,142189,143191,144487,145936,148582,151220,153427,156392,162607,172684,179866,181561,183195,183373,184665,184636,187448,195556,203384,208323,208191,210258,220574
55477,513,Brickell,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,154334,154986,155321,156044,156620,157351,158027,158108,158119,158055,158625,159567,160934,162280,163288,164305,165634,167459,169671,172420,175366,178380,180999,183577,185737,188228,190352,192812,194656,196921,199256,201768,203522,204704,205850,207998,210921,213544,216078,218645,220679,221912,222053,222523,223512,224620,226236,227252,228950,230419,232762,234860,237493,240222,243693,247739,252172,256587,260982,265510,269626,273635,277523,281748,287470,294370,301625,308643,316319,323072,328329,332299,337839,342799,349850,357036,365063,370706,375575,379282,381577,382149,382838,383102,381772,380704,378146,377204,374736,372765,370104,366783,361851,357790,352927,350325,342437,334259,323738,317005,312906,308241,302420,291987,281772,272728,265678,259045,254186,249651,246409,241035,236373,232702,227813,224574,221178,219349,217263,214619,214007,213561,214652,214956,215717,215171,215663,215964,217337,216476,216014,215570,215345,215138,215105,216178,217693,218899,220189,221354,222917,224758,226331,227242,228748,229803,231012,232450,234022,237353,240677,244435,248037,251492,255352,258748,262429,267291,272914,279405,284315,287973,292098,295985,300145,303276,308202,313161,317218,318442,318959,319311,320024,320964,321353,321601,321967,323134,324173,324986,324476,324018,322912,322429,322036,321402,320909,320434,320136,319216,319388,319923,320606,321009,320434,319777,316705,314934,314004,314054,313763,313481,314024,314865,314232,312766,310377,309307,308199,307264,305993,305568,304383,303638,302093,301798,301508,302537,302874,301747,299673,297893,297025,296025,295536,295386,296097,295790,294905,293789,293005,292479,291585,291063,290523,289846,288935,288303,287844,287694,287880,289802,290771,290995,291213,292079,293433,293719,295188,296815,298005,299361,301038,303271,305909,307569,310851,314341,319107,324548,330888,338018,344187,351122,358561,366121,374618,383279,396176,411393
623416,547,Flamingo Lummus,Neighborhood,FL,FL,Miami Beach,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,113214,113896,114364,115594,116606,117845,118820,119565,120156,120577,121443,122305,123369,124436,125538,126793,127995,129672,131692,134319,137039,139795,142002,143879,145894,148134,150787,153556,156424,159379,162392,165268,167545,169288,171156,173702,176549,179259,181765,184361,186100,187230,187692,188818,190144,191457,192991,194257,196104,197590,199548,201236,203889,206803,210123,213667,217554,221662,225463,229624,233724,238022,242139,246542,252415,259637,267364,275324,283370,290200,295345,299804,305142,309686,315566,321875,328515,332593,335488,336682,337203,336905,337865,338828,338292,337996,335202,333786,330440,328298,325244,322129,317803,314561,309959,307209,299002,291248,282734,277115,272302,266196,260063,251314,243026,236053,231908,226226,221968,216875,214179,211093,208631,206953,204110,202028,200573,198916,196809,193991,193128,193485,193274,192003,191067,189870,188593,187106,186241,185188,183826,182797,180758,179581,178740,179511,179366,178775,177247,176854,176323,177130,177421,178459,179919,181305,183325,185663,188103,189899,191840,193898,196777,199827,202009,203347,204020,206499,210717,215185,219182,221950,225394,228619,231809,234968,239117,242928,246342,247588,248129,248115,248141,248567,249039,249804,250731,252270,253484,255353,256912,258268,258397,257753,257823,258538,259379,259286,259175,258507,259376,260314,261355,261662,260988,260785,260187,260911,262409,263206,263156,261765,260623,260404,259873,259331,257247,254886,252950,251105,250480,249843,249316,248443,247601,246787,246061,245334,245059,244239,242885,241078,239744,238599,237823,237481,238541,238887,238948,238206,237443,236197,234846,234508,234295,233240,231602,230641,230148,229536,228073,228035,227339,227753,227128,226597,225765,225648,226401,226805,227358,228397,230403,232183,234713,236042,238513,240664,243297,246078,249130,251933,253956,255967,259789,264016,268023,271471,277019,285007
269014,714,Hollywood Hills,Neighborhood,FL,FL,Hollywood,Miami-Fort Lauderdale-West Palm Beach,Broward County,34157,34097,33804,33531,33455,33690,33916,33958,33988,33911,33915,33985,34264,34573,35461,36421,37392,37534,37550,38262,39552,40961,41683,42202,42558,42891,43064,42934,42753,42787,43542,44525,45370,45862,46359,46682,47090,47362,48003,48753,49681,50589,51675,52766,54056,55063,56067,56925,57914,59232,60347,61736,62796,64469,65827,67311,68499,69764,70891,72306,73504,74334,75213,76523,78505,80304,82168,84225,86366,89080,91998,95423,98527,100982,102946,105524,108267,111101,112598,113663,114051,114603,115603,116660,117063,117456,117737,117794,117195,116659,115903,115022,113679,112295,110281,107190,104188,102380,101044,99906,97415,94965,91083,85636,81926,79077,78565,76167,74218,71896,69512,66367,62928,60647,59564,58705,55924,53825,52154,52428,51855,51927,51857,52398,53123,52869,52656,51608,51397,51055,50490,50056,49541,49701,49493,49044,48050,47696,47590,47795,47738,47424,47264,47475,47860,48667,49348,50041,50598,51631,53417,55059,56361,56277,56438,56948,58119,59042,59327,59797,60383,62021,64046,66404,67655,69139,70843,73336,76902,79260,81858,82069,82822,82227,82781,83247,84510,85061,85150,84922,85176,85622,85725,85920,86397,87277,87155,87416,87158,87451,85363,83587,82479,83644,85261,86539,87950,88636,88702,88930,89523,90757,92344,94012,94833,94540,94502,95495,95757,95574,95243,96142,97398,98492,99694,100407,101204,101151,102110,102847,104257,104998,105075,105492,105857,106558,107131,107433,107781,107993,108838,109868,110547,110220,110019,108599,108295,107915,109255,110205,111122,111141,111541,113083,114854,115409,114391,114092,114620,115986,117905,120387,122321,122660,123366,124946,126878,128778,130573,133824,136976,139938,142056,143465,145112,147156,149369,152661,156311,160256
