RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22
124381,134,Flagami,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,205383,206760,206953,208142,208320,209197,210605,212521,214295,215236,216035,216868,218086,219556,221700,223635,225304,226688,228379,230735,233232,235616,237848,240813,243698,246766,248776,251473,254132,257057,259655,262299,264172,265845,267660,271191,275654,279449,281902,284767,287763,292644,296951,300905,304233,307433,311335,314126,316933,320331,325649,330885,335511,339703,344678,351469,358495,365765,372332,380080,388782,396929,404628,410428,419630,430683,441906,452705,463168,473519,481277,488023,496348,503968,513279,522157,532002,538228,544794,549304,553593,555722,558789,562305,562988,564156,562795,563789,561745,560890,558489,557224,552616,548838,542250,537490,525140,511808,497136,486534,476381,464877,453720,442306,432021,419931,407163,392358,380108,370101,361017,348745,336885,327860,321435,313219,304289,294934,287269,279560,275150,270862,267466,265954,265360,264229,264142,265201,264560,259866,254364,250392,246968,244793,241362,238357,235053,233528,231431,229103,227918,228821,228283,226428,223919,220682,218393,217660,219910,223412,224934,226573,229290,232323,234740,234520,235053,237655,240918,244095,245428,248695,253013,256754,258556,261578,268356,275567,279260,279653,279368,279173,279390,281386,283617,285316,286600,290740,294900,300314,304342,309206,310017,311307,311172,312710,312115,311431,311124,312958,316887,321264,324576,327194,330454,333729,336104,337499,340216,343182,347459,349975,351763,352697,354447,357512,360530,364041,366448,367522,366901,367092,366979,368249,369114,372762,376339,382765,390379,396362,400212,399111,399316,397951,398417,397932,401373,405139,410229,412613,416418,419632,422046,422265,422801,423168,423952,423864,423307,422436,422185,424873,429756,434097,436963,437924,440873,445106,447480,447697,448874,454376,462766,468283,474621,479207,487441,493365,499083,505802,515402,526074,535752,545956,557083,566152,577150,588778,607485,623860
269072,142,Little Havana,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525589,541092,549659,560144,564501,573925,581199,591772,597683,606724,617722,629061,640718,656618,675181,693486,706797,728242,749030
269228,190,Alameda - West Flagler,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,177835,178048,178254,179061,179768,180679,181693,183233,184670,185703,186208,186711,187703,189406,191514,193015,194460,195677,197723,200018,202640,205090,207567,210849,213878,216622,218805,221855,224863,227860,229936,232110,234013,236211,238581,242110,246376,250529,253746,256743,259909,264279,268794,272599,275637,278750,282252,285116,288062,291708,296859,301659,306288,310948,316352,322905,329188,335628,341873,348771,356335,363110,369608,374406,381940,391766,401326,410180,418261,426746,434113,440343,447363,453155,461353,469421,477299,481680,487236,492275,496805,498974,501419,504272,505089,506803,505577,506275,506071,507138,506848,505791,502054,498731,492985,490282,479351,468127,453463,442549,429764,417599,407492,400926,394185,384759,371322,355840,343500,333891,323966,311858,299860,292621,287084,280398,273613,266184,267522,268625,274419,273066,272849,271393,271041,268000,265054,262866,260962,256468,251656,248615,246853,246114,243364,240516,236820,234493,231996,229379,229163,231427,232106,229696,225720,222144,220005,220088,223603,228908,232692,235691,238582,242534,244421,244935,244554,246399,248918,252843,255616,258949,262639,266118,269303,271783,277455,282396,285491,286897,287856,289729,291303,295196,297799,299444,300640,307198,313806,319482,321655,324552,326225,328961,331719,334670,336393,336696,337341,335119,334358,334936,337863,341107,343427,347329,349560,352630,356938,361123,365445,367181,369146,371393,374471,378605,382274,386260,389877,392972,394898,397089,396942,397975,396980,399934,400684,404541,409148,415067,419971,421036,422331,422174,421976,422172,425151,429098,432391,435063,437651,440463,441323,441224,440536,440551,440630,441797,441371,441705,442122,446329,451304,454486,455539,456423,460871,467630,470851,471713,472612,479945,489668,497932,506097,512187,521218,527540,533887,539863,549259,559746,570650,580776,591391,598905,608211,617588,635023,650578
123423,220,Allapattah,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,129076,130865,131880,133896,134535,134691,136232,138823,141387,142790,143876,145913,148071,150370,152262,153267,154676,156129,157960,158947,160147,161185,161959,162360,163198,164499,165788,167060,168489,170983,174339,178069,180304,182027,183017,186163,189187,192782,195128,197668,199475,200280,201023,201715,203793,206056,208958,210741,213032,215324,218239,221483,225141,229130,231613,234613,238238,242335,245950,249954,255006,260712,265605,268698,273181,279444,287263,294636,302282,308079,312978,316990,322545,327412,334381,342570,350913,356798,361803,366085,369452,371927,375323,378733,380434,382149,381611,382585,381574,381169,380314,379605,376900,375329,373269,373667,366002,357147,347039,342068,335800,328809,319457,310534,302608,296108,289096,275903,264337,254710,251473,244968,237631,230952,226791,222909,218262,213135,210423,207777,205348,202166,196366,190538,184557,179770,174016,171212,167047,164359,158808,154299,148487,143556,141098,139469,138174,135791,133622,131301,131425,132854,132502,132116,132868,133284,131742,130388,129720,132438,136668,143612,148299,149237,146687,143835,143500,145331,149755,153080,156408,157084,159531,160557,162779,165008,168701,171835,173972,175758,176760,179067,180985,183871,186570,186921,186758,188359,191959,196066,197963,201461,205860,210656,212592,214367,213490,216069,218840,220979,224675,229605,235647,240490,241734,246217,247810,252977,257252,261686,264330,266652,272451,278690,283608,284214,284447,286718,293540,298475,301568,300995,299287,299741,301145,305189,308338,312312,319092,327250,336089,341434,345187,345889,346925,347651,351927,355268,357996,359716,361672,362997,362315,360513,358259,356361,356538,358879,362482,366282,368445,372037,373380,373748,371463,372334,375039,379058,381371,384404,386868,391426,396331,402702,409717,417503,430204,440927,450015,455518,463137,470631,478168,484922,494488,501513,512966,521841,537700,549915
268938,240,Coral Way,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,284773,287351,289899,294837,298348,300885,303451,306650,309337,310679,311891,313508,315325,317468,318338,320281,321589,324576,328645,332694,336634,339048,342651,345336,348186,350408,355322,361244,368891,376627,384244,390801,395978,399288,401602,406847,413591,421694,430057,438205,445606,451080,456431,463642,471506,479826,485831,489853,496705,504522,513231,519021,525430,532876,542130,553246,564416,576231,587975,599546,609411,616593,623878,632304,645850,661814,674832,688038,702368,716654,727162,737901,751137,762087,774663,789684,808028,822188,835602,844547,850669,853847,857936,862360,862408,864538,861244,859411,853621,850126,844238,838805,834671,831255,819501,807244,782237,760987,737299,722266,703095,683253,663913,650602,638829,626390,614560,593415,574787,552220,534497,516538,505051,498647,493088,485816,478623,476647,470338,464075,459464,458467,459980,455625,453653,447064,440099,430600,424942,414553,409478,400153,398861,392981,391628,388347,388613,388029,389504,386735,383088,382019,381526,381993,380821,383615,385612,387994,389313,393776,397976,403662,408101,413266,416696,419532,421404,426629,435696,447426,456863,464106,471040,478832,484121,493828,505799,518894,523449,523463,522144,523027,525217,526797,528885,532784,539455,546606,553154,560211,561764,563762,563160,568402,570210,572115,572291,574443,577482,578387,582961,590894,602066,609785,613209,616674,620611,629068,637495,641765,645639,651831,657515,661762,658961,660501,658120,661059,662012,665137,669408,671825,671840,668318,668158,672079,673706,676549,678492,686082,688960,688302,685261,683462,684578,683666,690264,693253,698424,696346,696924,697344,695672,694895,694160,696927,696857,694038,687673,683569,684797,692194,699429,705307,707047,707860,706489,707987,709127,708989,711038,716980,729941,740312,752517,760561,776696,793191,811726,826651,845926,863824,880248,896081,917568,941615,968792,995640,1027939,1067013
220532,309,Central,Neighborhood,FL,FL,North Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395982,400292,405528,411306,415921,423028,428239,434233,440823,451978,465392,476034,484423,491980,501548,518632,538334,563173,584594
269071,362,Little Haiti,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,122246,122602,124784,126990,128750,129353,129446,128691,126615,125563,125373,125226,124264,123350,122173,121332,121331,121779,122586,122775,124376,125708,129383,132631,135962,136162,136083,136262,137508,138929,141026,144018,147034,149292,150483,151047,153058,157882,164278,170826,175603,180031,182207,184493,186346,190102,193524,196508,199104,199992,202071,205178,209768,214361,219994,226634,233297,238756,243965,248933,253640,259116,264778,270193,276379,284667,293791,302116,311543,321029,330466,337184,343732,349017,355605,362298,369142,373923,378322,381696,386667,391392,397948,403082,406199,409911,410747,413490,414720,417943,419676,419453,416851,415033,411992,410787,403825,396753,388036,381877,374883,364482,352640,340317,333019,327039,319447,307639,294811,283031,275106,266957,261666,256149,251777,247398,242251,239521,238140,238049,232736,230792,224252,221011,212790,206039,197137,186796,178213,171802,168648,171382,174533,177076,175891,173923,173522,171133,171649,171796,173736,175416,174775,173338,171542,169329,166482,164483,163925,165164,168251,173646,178360,175736,170487,163630,164151,167051,175002,181948,187227,190049,194010,197686,200659,205616,211698,215489,214815,213544,216032,218662,224339,229613,234974,239270,243700,247928,252436,256415,264526,271208,274334,276566,278088,286020,289131,294491,296997,300653,304146,308514,313391,317233,318874,322119,325975,332981,338383,342261,346364,350642,358270,363943,372154,374216,375950,376736,380199,381757,383229,386445,388514,391360,393034,396461,398439,402043,408129,415003,418761,420749,422518,424664,425961,428724,432995,435914,435926,433933,433353,432642,432087,433907,433738,432839,429038,427864,428290,431562,434647,440710,444998,449523,448040,447093,445371,447559,448115,451492,459848,473765,488200,498353,507024,515489,529882,542925,558016,567832,582056,596666,612866,627746,640747,655133,670807,687456,709983,732863
55477,513,Brickell,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728690,1691674,1671115,1664714,1669476,1644923,1615926,1586929,1591810,1604062,1616156,1630193,1641432,1661788,1672025,1681632,1676970,1674436,1666509,1674443,1667405,1667476,1640266,1597599,1552828,1532319,1560368,1570423,1561864,1547737,1548974,1578933,1583298,1606512,1616958,1646501,1653612,1666095,1679257,1713297,1741622,1766586,1785082,1800840,1830179,1875026,1914167,1955287,1975727,2009006,2047084,2084245,2112685,2135867,2164614,2214966,2263093,2323180,2378565,2436486,2485902,2518642,2534606,2545874,2564521,2586304,2592944,2614979,2654724,2701200,2737663,2764122,2782560,2800775,2809197,2824557,2827175,2840145,2869698,2911745,2954031,3000424,3056138,3091472,3120657,3124866,3102423,3046927,3007962,3013272,3044843,3057130,3053959,3007106,2985826,2942379,2943999,2938756,2954271,2971580,2981621,2984047,2990859,2994407,2992924,2976843,2971494,3009554,3066289,3078785,3096575,3106219,3143363,3147480,3132925,3121861,3118512,3132910,3137465,3152668,3147311,3149679,3126494,3094466,3072354,3055123,3043280,3017010,2986765,2951020,2920308,2907336,2928915,2934342,2908449,2851618,2806238,2782712,2784039,2780402,2785286,2760030,2751290,2754748,2782488,2831442,2852856,2894751,2930418,2992275,3051412,3101914,3165184,3217001,3288742,3370489,3431852,3507432,3568980,3711969,3856157
269093,518,Liberty City,Neighborhood,FL,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447027
269014,714,Hollywood Hills,Neighborhood,FL,FL,Hollywood,Miami-Fort Lauderdale-West Palm Beach,Broward County,210472,210935,211470,212056,212027,212797,213904,215259,217157,219144,222593,225332,228553,231802,237285,247762,255482,265229,267193,271039,271260,281491,290393,294110,292504,289593,295119,296107,299513,301930,308835,315821,316150,315961,318447,329038,335937,341821,341363,343839,346480,349375,356033,361936,369868,374510,373579,371688,366066,366502,366606,369997,374299,378789,383006,387859,394549,399817,404159,409221,416558,423044,430011,438225,449474,458301,467170,474379,483219,493004,503597,514459,522165,528953,531372,538038,541486,546760,545539,546220,549285,550520,549926,545001,542933,540627,539554,533562,529050,517453,507836,492560,482335,473446,468035,463523,457551,450735,440554,432238,419556,409857,399601,397323,386195,373564,358018,352027,351396,350676,348838,342376,333730,325945,320991,319010,321315,323980,326622,325673,325810,328284,330674,332924,334115,333847,334105,331348,329005,321908,318295,316846,317457,317432,318596,318746,317425,315332,312489,310107,307398,305801,308195,310520,314781,315989,317509,318974,318804,318993,318988,320861,323142,324887,326538,329322,334463,338595,341563,344018,348772,352900,357139,363441,371218,378849,383486,386602,388029,390691,394928,395707,396519,393784,398130,400283,404685,405903,404980,404736,402170,403337,401821,404888,406711,413874,417136,420958,421570,424051,425339,425835,424537,422859,420972,422248,427776,434372,438272,438342,439268,441841,443890,443572,441847,441116,442299,447008,451850,455574,458099,459909,461200,462375,465183,468317,469166,469295,471380,473060,477807,481324,483850,481864,479202,479862,482283,484279,484398,482753,481535,481142,481128,481342,479670,478358,478023,480937,482856,483815,484524,487145,488510,491876,495779,502679,505765,510747,515028,522969,529385,536505,540906,546517,552859,561016,574241,589135,606649,621680,637538,652119,662813,674068,688062,706434,730779,761681,793426,820463
