RegionID,SizeRank,RegionName,RegionType,HouseType,State,City,Metro,CountyName,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22
124381,134,Flagami,Neighborhood,condo,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,75689,76063,76690,77655,78405,79056,79595,80099,80341,80600,81095,81605,82208,82656,83085,83492,84039,84695,85521,86513,87561,88517,89455,90434,91393,92441,93260,94245,95215,96297,97462,98536,99673,100601,101471,102803,104156,105557,106737,108196,109440,110640,111870,113278,114742,115948,117205,118070,119273,120590,122409,123900,125703,127624,129960,132433,134814,137237,139518,142111,144843,147515,150230,152798,156355,160045,163967,168117,173484,178387,182040,184895,188168,191216,194742,198499,202335,205049,208156,210938,213279,214431,216059,217724,218364,219015,218533,218910,218602,218532,218019,217064,215207,214014,211793,210940,206524,202140,197063,193499,190912,187695,184506,180387,176388,172441,168310,162740,156228,149792,143479,138353,132020,126190,119586,113757,109471,107152,106682,105638,103762,101759,100068,98942,96977,95425,93844,92546,90906,88392,86342,84971,84552,83912,83129,82052,81578,81499,81642,81994,81691,81757,81499,81349,81763,82483,83570,84821,85815,86646,86736,87312,89034,90368,91997,93312,95362,97789,99692,101721,103172,104371,106247,107498,108654,109712,112005,114587,116847,117739,117714,117263,117180,119334,121740,124797,126679,128343,128841,128864,128671,128786,129290,129937,131050,131484,131846,131329,131142,130943,131599,132570,133491,134631,135476,136421,136694,137357,138227,139772,141278,142697,143589,144682,146036,147032,147657,148259,149719,151257,152243,153428,153937,154998,154488,154577,153484,153607,153847,154846,155469,155371,155574,155402,155647,155797,157091,157563,157825,157134,157349,157485,157667,157824,157683,157355,157095,157676,157732,158040,157903,159500,160825,162374,163283,163601,163733,164087,164921,165934,166387,167706,169074,170549,171748,172636,174249,175922,177831,179796,182571,185374,188026,190355,193537,196396,199930,202928,208014,213124
269072,142,Little Havana,Neighborhood,condo,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,85415,85603,85886,86331,86751,87277,87343,87229,86676,86887,87262,87639,87891,88013,88959,90145,91828,93119,94044,94838,95784,96610,97481,98179,98997,99800,100663,101779,102420,103218,104277,106018,107156,108034,108678,110043,111604,113046,114545,115583,116737,118107,120078,121995,123648,124788,125681,126127,127469,129442,131729,133498,135274,137205,139428,142046,144675,147886,151645,156106,160197,163374,166717,170028,174282,178532,182809,187753,194654,200480,204390,206094,208060,210129,213016,216913,221551,224948,228233,230446,231949,232634,233117,233900,233498,233980,233504,234281,234025,233614,232703,231700,230155,229106,227269,226584,222673,217976,211154,205024,200012,196275,193848,191406,188435,184805,180847,176655,172622,167938,163119,158971,155612,151874,146935,142059,138899,136089,132134,126921,122568,119816,116993,114154,111332,108889,104649,99429,94574,90553,87955,87350,87403,86504,84666,83766,83571,83989,84070,84305,83697,84027,84869,85476,86405,85599,85783,85358,86857,88090,88882,89455,90228,91066,91969,93580,95588,97576,99321,101368,102937,104087,106789,110217,114342,117774,121222,123777,125213,127173,128652,129530,129106,128860,129626,131511,133597,136660,138584,140270,140549,140929,142538,144362,144979,144904,145293,145763,146694,145206,145225,144416,145279,147373,148871,149948,149827,151358,153591,155378,155830,156062,156524,157923,160032,162033,163737,164412,164691,164381,164334,164983,165399,165416,164566,163938,163022,164396,165881,167986,168041,168454,169099,169747,169737,169806,171125,171515,171254,170880,171191,172018,171848,171820,171006,170320,170257,170501,170831,170773,171215,172687,174210,175180,173217,171147,169318,169247,169593,170489,171230,171423,171730,172534,174110,174925,177438,180346,183238,184980,186930,189428,192445,195758,199807,202847,206413,208877,213941,219143
269228,190,Alameda - West Flagler,Neighborhood,condo,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,95084,95268,95417,95860,96294,97137,97671,98014,97868,97803,98041,98308,98594,98741,99127,99726,100768,101862,103131,104131,105661,106825,108252,109175,110312,111455,112598,113488,114054,114882,116393,118295,119489,120779,122088,124200,125625,127175,128258,130328,131936,134204,135697,137338,139096,141096,142736,143754,145336,147099,149442,151744,154786,158433,161639,165340,168753,172997,176921,181161,184868,188228,190621,192282,195005,198773,203150,208436,214209,219617,222509,224546,227559,230919,235171,239596,244015,246801,249001,250692,251729,251908,252451,253906,254317,254645,253627,253493,252601,251933,251105,250045,247469,245833,243139,242365,237454,232092,226322,222573,220413,215967,212829,208871,205396,200219,195428,189787,182033,174059,167313,163188,158391,153618,147585,142521,138570,136126,131980,127682,123965,122098,120677,117664,115003,111618,108928,106131,103945,101396,99427,96789,94850,92649,91414,90979,90804,90354,89748,88706,87993,87959,88935,89767,90600,90231,89968,90725,91586,93387,94502,97220,100266,102453,102818,102668,103018,105068,107037,109054,109890,111017,112876,114977,116408,116948,119450,122559,125959,128394,129758,131190,131858,133807,135610,137930,139328,141399,142597,143213,142829,142329,142127,142527,143280,144540,145016,145411,145332,145885,147010,148766,150608,152435,153729,154831,155409,156876,158696,160231,161406,162016,162808,164179,166771,168925,169991,170096,171006,172049,172743,173218,173173,173603,173532,174285,174423,175828,176458,177505,177532,177637,177867,177357,177191,176787,177692,177593,177564,177077,177612,177962,178234,178354,178294,177438,176766,176908,177394,177693,177297,178137,178847,179695,180816,181445,182086,181722,181911,182223,182850,184099,185889,187085,188722,189080,191095,192805,195036,196962,199807,203616,207055,210996,214659,217837,220257,222513,227527,233381
123423,220,Allapattah,Neighborhood,condo,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,108714,108565,108081,107949,107051,106962,106217,105962,105361,105426,106651,108698,110411,112047,113099,114709,115751,117050,118661,120419,122347,123641,124931,125733,125760,126433,127513,128787,129293,129378,130595,131654,132921,133822,135383,136596,137752,138412,139588,141042,142712,144565,145949,147623,149852,152566,154831,155708,156416,157276,159191,161072,163166,165440,168165,171109,174844,179014,183802,187081,190019,192187,195483,198396,204022,210211,216363,221603,226206,232476,238311,244755,252144,258762,266130,271580,276179,278656,281723,283798,285844,285546,286313,286881,287495,288254,288899,289469,289132,289641,290627,290682,288746,287538,286098,283913,277028,270329,263989,259340,256918,254195,252992,248941,245558,241106,236016,226972,216499,206344,197865,190487,179093,166288,150956,139333,131386,127592,126378,126142,124127,119925,114868,111291,109138,105833,102457,97887,93361,88095,84304,81598,80430,79042,78093,76655,76193,76248,77496,79420,80999,81502,80351,78185,75703,75304,75821,77871,78130,79666,80227,81856,82658,82158,81288,80751,82626,84213,86092,87217,88154,88505,89835,91355,93002,94786,96310,98662,99088,101052,101492,104519,106355,111201,114180,116386,116201,117494,119482,120462,120325,121096,123145,125425,126829,127045,127480,128852,130480,128513,125806,124022,125597,126924,128105,128419,128582,128418,128581,129184,130373,133532,137311,141547,145284,147840,148814,147590,147944,149122,150594,150842,150516,152963,154208,154317,152714,153159,155474,156336,156139,154387,153117,151796,151908,152770,155050,157277,159677,160127,159485,158154,156969,156227,155161,154632,154852,155932,156027,156532,156612,157889,158430,160207,159145,157185,154209,154503,155459,156397,157417,159023,161403,162674,164399,164255,165490,166421,168649,171437,174923,177794,180321,182751,186486,189622,193846,197279,203645,209279
268938,240,Coral Way,Neighborhood,condo,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,122942,123113,122901,122840,122568,123147,123644,124298,124538,125426,126472,127534,128320,129621,130887,132045,133132,135070,137121,139103,140927,142440,144445,146012,148029,149199,151135,154588,157615,159979,160795,162047,163433,164678,165899,167262,169606,172479,175332,177630,179831,181506,183053,184248,186068,187660,189185,190131,191485,193423,195608,197649,199712,202154,204603,206696,208875,211361,214297,217500,220569,223842,226962,230232,234575,239704,245024,249644,254706,259009,262555,265670,269602,273255,277752,282354,286970,289550,291553,292231,292495,292054,292352,293016,292538,292990,291313,290415,287758,285813,283981,281941,278941,276243,272349,270232,263785,257199,249338,243438,239525,235836,232555,227852,221440,215389,209013,203018,199110,195669,193507,188967,186213,183499,181386,178626,175309,171769,166461,162154,159778,159467,159788,158769,157474,154915,151859,150204,149072,147708,145554,144344,142805,141012,138773,137638,136482,135167,135271,135345,135885,136425,137653,138334,139129,139722,141128,142084,142889,143942,145560,148315,152593,157110,162279,166482,169590,172577,175987,181347,186754,192292,197791,203004,207255,211588,216295,220655,222961,223763,224097,225407,226943,228771,230108,231614,233805,236340,238269,239774,240112,240395,240127,241189,242082,243478,244281,244549,244845,244471,245577,246516,247616,248165,248032,248736,248784,250143,251572,253275,254161,254684,255098,256329,256690,257211,256466,257078,257977,258324,257891,257457,257203,257525,257191,257552,257917,259589,260939,261766,261611,261370,260797,259892,259481,259380,260657,261151,261974,261791,261767,261634,260890,261325,261257,260859,259847,259124,258733,258270,258350,260144,261377,261681,260386,259034,257913,257513,257033,256950,256974,258621,261197,263824,266716,267715,269973,272168,275615,279301,284164,289149,294029,299379,305622,310966,317094,323029,332180,342727
220532,309,Central,Neighborhood,condo,FL,North Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,49521,49703,49833,49993,50169,50370,50704,50910,51056,51155,51340,51549,51875,52189,52481,52728,52925,53272,53775,54499,55177,55775,56367,57082,57826,58545,59300,60101,60805,61651,62400,63509,64232,64899,65507,66570,68240,69733,71251,72440,73662,74715,75672,76707,78001,79236,80409,81002,81761,82598,84073,85376,86634,87720,89125,90915,92789,94578,96392,98410,100356,102116,103931,105780,108209,110949,113933,117004,120556,123687,126383,128967,132402,135822,139608,143320,146960,149692,152122,153902,155296,156165,157275,158214,158498,158841,158209,158211,157848,157696,157246,156552,155218,154337,152559,151732,148445,145524,142226,139613,137539,134724,132247,128532,125587,123235,121120,118375,115657,114042,112135,110587,106844,102511,,90523,86846,84673,82029,78622,74253,71389,68194,66335,63319,61046,59127,57909,57240,56458,55964,55902,55942,54954,53791,52404,51686,50900,49813,49583,49910,51265,52150,52684,53395,53543,53515,52839,52916,53374,54447,55151,55399,55768,56149,57061,58151,59644,60167,61175,61971,63618,65262,67412,69059,70048,70518,70925,71313,71933,72910,73582,74082,74475,75397,75773,76022,75993,76376,76884,76966,77080,77804,78674,79869,80650,81293,81554,81963,82316,83330,84546,85606,85647,85117,85043,85776,85928,86901,87859,89335,89510,89736,89793,90804,91132,92272,93018,94151,95466,96786,97643,97530,97813,98170,98340,98039,98389,99534,101113,102620,104050,104451,104110,102785,101802,102225,102762,103670,103949,105015,106158,106809,107548,107616,107639,107536,108190,108430,108570,108163,109458,110506,111306,110378,109318,108397,108336,108611,108923,109449,110531,112163,112869,113959,114548,116902,118423,121150,123021,125773,128119,130544,132736,134766,137175,140192,143575,147388,152191
269071,362,Little Haiti,Neighborhood,condo,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43552,42807,42184,41741,42241,42812,43827,43388,43308,41637,41522,40820,40727,40086,40052,40165,40092,40079,40209,39748,39682,39000,39223,39566,40116,40975,41900,43052,44032,43986,44682,46054,48487,50034,50040,50522,50458,51119,51476,53370,55033,55517,55082,55202,56587,59045,60939,62328,63252,64808,64835,64784,63982,64985,65228,65489,66025,66970,69151,70252,71106,71131,69559,68092,66989,67881,69576,71104,72483,72406,73367,74603,76115,77012,76610,77057,76527,77122,77533,78884,79957,82939,83296,83793,82300,82982,82968,82842,81718,82311,81798,82498,81789,82859,83628,85024,86412,88033,89397,89487,89299,89533,90018,90838,90348,91354,91738,92439,93258,95012,97713,98965,99936,100851,101723,102683,104314,106387,108386,109218,111057,114997,121492,126039,128096,128934,130884,133688,136164,139432,142492,144005,147884,150254,153903,157633
55477,513,Brickell,Neighborhood,condo,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,214705,215467,216207,217773,219102,220470,221570,222471,223431,224505,225960,227647,229282,231120,232637,234494,236681,239536,242877,246552,250128,253382,256252,259158,262287,265703,269048,272389,275419,278593,281645,284762,287401,290116,292591,296522,300801,305137,308821,312508,315514,317441,318322,319638,321807,323941,326526,328161,330756,333027,336529,339258,342764,345945,350136,354961,360078,365810,371329,377880,383710,389591,394992,400636,408713,418584,429215,439311,450296,460102,467752,473554,481026,487692,497062,506558,516960,523963,530282,534620,537574,538107,539648,540512,539410,538128,534917,533605,530814,528260,524980,520887,514945,510411,503882,499970,488064,476406,462706,451786,442362,432846,423767,411377,397727,385105,373971,363282,354434,347407,341988,335845,329591,325277,319529,315388,311595,310096,307948,304677,303736,303898,305480,306287,306941,305993,305294,304582,304209,301930,300116,300439,300361,300464,299768,300380,301802,302482,303773,304140,305791,308417,312327,314910,318136,319360,321328,323190,325393,328814,331557,335662,340548,345382,350378,354021,358436,364068,371073,379107,385082,389703,394186,398897,403457,407545,414175,420980,426726,428563,429369,430132,431779,434235,435933,437191,437944,439960,441367,442853,442064,441860,440830,441201,441875,442538,442768,442255,441716,440473,441068,441514,442778,442998,442674,441825,439285,437719,436646,436085,434645,433353,431978,430631,427915,425155,422027,419700,417952,416643,415124,414389,413353,413427,411734,411493,410233,410582,410319,409790,409087,407488,406791,405094,404798,403805,404257,403132,402215,400419,399804,399055,398140,397194,396317,394858,393064,391573,390528,389757,388928,390723,390986,390449,388221,386909,386885,387779,390445,393009,394785,396683,398661,401099,404439,406960,411183,415204,421891,428909,437523,445680,453837,463201,473600,483454,494171,505065,522051,540868
269093,518,Liberty City,Neighborhood,condo,FL,Miami,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61384,58905,55982,53254,51081,48830,46787,45076,45281,45964,46268,45752,45796,45831,45508,44690,43620,42645,41629,40146,37946,35657,35166,35373,35468,34530,33974,33789,34030,34205,34308,34488,34471,34512,33925,33885,34151,34715,34577,34624,35285,36592,38177,39772,40522,40311,39398,39031,39219,39738,40703,41051,40986,41277,41934,43046,44022,45671,47297,47794,47986,47913,49010,49699,51881,53015,54704,55053,56550,57753,59472,59893,60186,60511,61702,62351,62439,61593,61603,62193,62961,64694,65806,67507,68055,69527,71333,73039,74046,74529,75297,77250,78847,79812,79785,81435,83281,85044,85693,87954,90332,92584,91765,91648,91990,94482,95620,97100,98472,100479,102102,104491,106683,108279,109432,110589,112151,113219,114166,114501,114412,114308,115256,116016,116475,116220,115618,115823,116691,116716,117559,117819,119351,119973,121983,125093,127050,129048,130875,133548,134995,136841,138929,141552,142892,145117,148091,152979,159117,161188,165000,169292,170758,172052,171247,176956,180575,187335,191497,198435,204043
623416,547,Flamingo Lummus,Neighborhood,condo,FL,Miami Beach,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,119272,119989,120473,121812,122895,124233,125179,125963,126606,127179,128215,129384,130827,132238,133486,134807,136048,137705,139683,142245,144996,147769,150002,151980,154068,156411,158980,161688,164512,167533,170618,173393,175500,177158,179031,181542,184295,186879,189349,191871,193843,195161,195767,196843,198370,199843,201544,202827,204854,206547,208523,210277,212878,215803,219251,222969,227133,231207,235110,239525,244063,248773,253485,258388,264665,272058,280044,288168,296359,303313,308677,313418,319062,323900,330087,336859,344026,348684,351843,353494,354402,354564,355630,356629,356189,356002,353411,351961,348927,346944,344149,341227,336902,333705,329041,326345,318112,310145,301318,295411,290374,284750,279122,270528,262015,254378,249645,243187,238414,233241,230503,227334,224436,222167,218886,216481,214752,212734,210662,207665,206824,206712,206096,204571,203599,202592,201415,199908,198873,197531,196141,195588,193980,192843,191656,192003,191637,191011,189956,190165,190564,192041,192989,194026,195591,196563,198517,200522,203035,204817,207118,209600,212572,215398,217429,218827,219554,222215,226371,230990,234669,237092,240145,243029,246171,249257,253755,258105,261977,263613,264105,264302,264431,265305,266239,267779,269689,272014,273356,275022,276121,277663,278035,278009,278116,278671,278989,278703,278610,278381,279572,280780,282023,282269,281594,281344,280874,281312,281672,281388,280548,279308,278135,277706,276714,275942,273793,271448,269609,267794,266763,265787,264894,264277,263288,262661,261821,261303,261129,260435,259345,257706,256428,255391,254815,254795,255845,255842,255396,254308,253639,252449,251059,250586,250351,249263,247392,246190,245307,244482,243026,243312,243142,243839,243716,243358,242860,242459,243557,244302,245061,245970,247795,250119,253427,255180,257630,259446,262413,265302,268692,271741,274920,278279,282747,286660,290912,295470,302085,310631
